scenario_name,parameters_json,result_json
Budget -15% (store 23),"{""name"": ""Budget -15%"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": 0.85, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 1330.0, ""expected_total_cost"": 9800.38, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 44.27, ""procurement_cost"": 9754.53, ""stockout_probability_pct"": 4.96, ""achieved_service_level_pct"": 95.04, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 1330.0, ""expected_total_cost"": 9800.38, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 44.27, ""procurement_cost"": 9754.53, ""stockout_probability_pct"": 4.96, ""achieved_service_level_pct"": 95.04, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": 0.0, ""expected_total_cost"": 0.0, ""expected_total_cost_pct_change"": 0.0, ""expected_holding_cost"": 0.0, ""expected_holding_cost_pct_change"": 0.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": 0.0, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": 0.0, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": 0.0, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
Budget -20% (store 23),"{""name"": ""Budget -20%"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": 0.8, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 1330.0, ""expected_total_cost"": 9800.38, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 44.27, ""procurement_cost"": 9754.53, ""stockout_probability_pct"": 4.96, ""achieved_service_level_pct"": 95.04, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 1330.0, ""expected_total_cost"": 9800.38, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 44.27, ""procurement_cost"": 9754.53, ""stockout_probability_pct"": 4.96, ""achieved_service_level_pct"": 95.04, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": 0.0, ""expected_total_cost"": 0.0, ""expected_total_cost_pct_change"": 0.0, ""expected_holding_cost"": 0.0, ""expected_holding_cost_pct_change"": 0.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": 0.0, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": 0.0, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": 0.0, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
Warehouse capacity +25% (store 23),"{""name"": ""Warehouse capacity +25%"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": 1.25, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 1330.0, ""expected_total_cost"": 9800.38, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 44.27, ""procurement_cost"": 9754.53, ""stockout_probability_pct"": 4.96, ""achieved_service_level_pct"": 95.04, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 1330.0, ""expected_total_cost"": 9800.38, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 44.27, ""procurement_cost"": 9754.53, ""stockout_probability_pct"": 4.96, ""achieved_service_level_pct"": 95.04, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": 0.0, ""expected_total_cost"": 0.0, ""expected_total_cost_pct_change"": 0.0, ""expected_holding_cost"": 0.0, ""expected_holding_cost_pct_change"": 0.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": 0.0, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": 0.0, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": 0.0, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
"2-week promotion, +30% uplift (store 23)","{""name"": ""2-week promotion, +30% uplift"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 30.0, ""promo_duration_days"": 14}","{""baseline"": {""recommended_order_qty"": 1330.0, ""expected_total_cost"": 9800.38, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 44.27, ""procurement_cost"": 9754.53, ""stockout_probability_pct"": 4.96, ""achieved_service_level_pct"": 95.04, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 2910.0, ""expected_total_cost"": 21400.07, ""expected_holding_cost"": 2.03, ""expected_stockout_cost"": 55.42, ""procurement_cost"": 21342.62, ""stockout_probability_pct"": 4.76, ""achieved_service_level_pct"": 95.24, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 1580.0, ""recommended_order_qty_pct_change"": 118.8, ""expected_total_cost"": 11599.69, ""expected_total_cost_pct_change"": 118.4, ""expected_holding_cost"": 0.45, ""expected_holding_cost_pct_change"": 28.5, ""expected_stockout_cost"": 11.15, ""expected_stockout_cost_pct_change"": 25.2, ""procurement_cost"": 11588.09, ""procurement_cost_pct_change"": 118.8, ""stockout_probability_pct"": -0.2, ""stockout_probability_pct_pct_change"": -4.0, ""achieved_service_level_pct"": 0.2, ""achieved_service_level_pct_pct_change"": 0.2}}"
Demand +20% (store 85),"{""name"": ""Demand +20%"", ""demand_multiplier"": 1.2, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 7210.0, ""expected_total_cost"": 33429.99, ""expected_holding_cost"": 2.24, ""expected_stockout_cost"": 61.06, ""procurement_cost"": 33366.69, ""stockout_probability_pct"": 4.86, ""achieved_service_level_pct"": 95.14, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 10100.0, ""expected_total_cost"": 46817.99, ""expected_holding_cost"": 2.68, ""expected_stockout_cost"": 74.17, ""procurement_cost"": 46741.14, ""stockout_probability_pct"": 4.9, ""achieved_service_level_pct"": 95.1, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 2890.0, ""recommended_order_qty_pct_change"": 40.1, ""expected_total_cost"": 13388.0, ""expected_total_cost_pct_change"": 40.0, ""expected_holding_cost"": 0.44, ""expected_holding_cost_pct_change"": 19.6, ""expected_stockout_cost"": 13.11, ""expected_stockout_cost_pct_change"": 21.5, ""procurement_cost"": 13374.45, ""procurement_cost_pct_change"": 40.1, ""stockout_probability_pct"": 0.04, ""stockout_probability_pct_pct_change"": 0.8, ""achieved_service_level_pct"": -0.04, ""achieved_service_level_pct_pct_change"": -0.0}}"
Demand -15% (store 85),"{""name"": ""Demand -15%"", ""demand_multiplier"": 0.85, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 7210.0, ""expected_total_cost"": 33429.99, ""expected_holding_cost"": 2.24, ""expected_stockout_cost"": 61.06, ""procurement_cost"": 33366.69, ""stockout_probability_pct"": 4.86, ""achieved_service_level_pct"": 95.14, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 5040.0, ""expected_total_cost"": 23378.18, ""expected_holding_cost"": 1.9, ""expected_stockout_cost"": 51.98, ""procurement_cost"": 23324.29, ""stockout_probability_pct"": 4.86, ""achieved_service_level_pct"": 95.14, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": -2170.0, ""recommended_order_qty_pct_change"": -30.1, ""expected_total_cost"": -10051.81, ""expected_total_cost_pct_change"": -30.1, ""expected_holding_cost"": -0.34, ""expected_holding_cost_pct_change"": -15.2, ""expected_stockout_cost"": -9.08, ""expected_stockout_cost_pct_change"": -14.9, ""procurement_cost"": -10042.4, ""procurement_cost_pct_change"": -30.1, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": 0.0, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
Lead time 7 -> 14 days (store 85),"{""name"": ""Lead time 7 -> 14 days"", ""demand_multiplier"": 1.0, ""lead_time_override"": 14.0, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 7210.0, ""expected_total_cost"": 33429.99, ""expected_holding_cost"": 2.24, ""expected_stockout_cost"": 61.06, ""procurement_cost"": 33366.69, ""stockout_probability_pct"": 4.86, ""achieved_service_level_pct"": 95.14, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 13920.0, ""expected_total_cost"": 64504.81, ""expected_holding_cost"": 2.73, ""expected_stockout_cost"": 82.62, ""procurement_cost"": 64419.47, ""stockout_probability_pct"": 4.9, ""achieved_service_level_pct"": 95.1, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 6710.0, ""recommended_order_qty_pct_change"": 93.1, ""expected_total_cost"": 31074.82, ""expected_total_cost_pct_change"": 93.0, ""expected_holding_cost"": 0.49, ""expected_holding_cost_pct_change"": 21.9, ""expected_stockout_cost"": 21.56, ""expected_stockout_cost_pct_change"": 35.3, ""procurement_cost"": 31052.78, ""procurement_cost_pct_change"": 93.1, ""stockout_probability_pct"": 0.04, ""stockout_probability_pct_pct_change"": 0.8, ""achieved_service_level_pct"": -0.04, ""achieved_service_level_pct_pct_change"": -0.0}}"
Budget -15% (store 85),"{""name"": ""Budget -15%"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": 0.85, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 7210.0, ""expected_total_cost"": 33429.99, ""expected_holding_cost"": 2.24, ""expected_stockout_cost"": 61.06, ""procurement_cost"": 33366.69, ""stockout_probability_pct"": 4.86, ""achieved_service_level_pct"": 95.14, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 7210.0, ""expected_total_cost"": 33429.99, ""expected_holding_cost"": 2.24, ""expected_stockout_cost"": 61.06, ""procurement_cost"": 33366.69, ""stockout_probability_pct"": 4.86, ""achieved_service_level_pct"": 95.14, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": 0.0, ""expected_total_cost"": 0.0, ""expected_total_cost_pct_change"": 0.0, ""expected_holding_cost"": 0.0, ""expected_holding_cost_pct_change"": 0.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": 0.0, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": 0.0, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": 0.0, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
Budget -20% (store 85),"{""name"": ""Budget -20%"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": 0.8, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 7210.0, ""expected_total_cost"": 33429.99, ""expected_holding_cost"": 2.24, ""expected_stockout_cost"": 61.06, ""procurement_cost"": 33366.69, ""stockout_probability_pct"": 4.86, ""achieved_service_level_pct"": 95.14, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 7210.0, ""expected_total_cost"": 33429.99, ""expected_holding_cost"": 2.24, ""expected_stockout_cost"": 61.06, ""procurement_cost"": 33366.69, ""stockout_probability_pct"": 4.86, ""achieved_service_level_pct"": 95.14, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": 0.0, ""expected_total_cost"": 0.0, ""expected_total_cost_pct_change"": 0.0, ""expected_holding_cost"": 0.0, ""expected_holding_cost_pct_change"": 0.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": 0.0, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": 0.0, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": 0.0, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
Warehouse capacity +25% (store 85),"{""name"": ""Warehouse capacity +25%"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": 1.25, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 7210.0, ""expected_total_cost"": 33429.99, ""expected_holding_cost"": 2.24, ""expected_stockout_cost"": 61.06, ""procurement_cost"": 33366.69, ""stockout_probability_pct"": 4.86, ""achieved_service_level_pct"": 95.14, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 7210.0, ""expected_total_cost"": 33429.99, ""expected_holding_cost"": 2.24, ""expected_stockout_cost"": 61.06, ""procurement_cost"": 33366.69, ""stockout_probability_pct"": 4.86, ""achieved_service_level_pct"": 95.14, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": 0.0, ""expected_total_cost"": 0.0, ""expected_total_cost_pct_change"": 0.0, ""expected_holding_cost"": 0.0, ""expected_holding_cost_pct_change"": 0.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": 0.0, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": 0.0, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": 0.0, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
"2-week promotion, +30% uplift (store 85)","{""name"": ""2-week promotion, +30% uplift"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 30.0, ""promo_duration_days"": 14}","{""baseline"": {""recommended_order_qty"": 7210.0, ""expected_total_cost"": 33429.99, ""expected_holding_cost"": 2.24, ""expected_stockout_cost"": 61.06, ""procurement_cost"": 33366.69, ""stockout_probability_pct"": 4.86, ""achieved_service_level_pct"": 95.14, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 11540.0, ""expected_total_cost"": 53490.39, ""expected_holding_cost"": 2.89, ""expected_stockout_cost"": 82.28, ""procurement_cost"": 53405.22, ""stockout_probability_pct"": 5.0, ""achieved_service_level_pct"": 95.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 4330.0, ""recommended_order_qty_pct_change"": 60.1, ""expected_total_cost"": 20060.4, ""expected_total_cost_pct_change"": 60.0, ""expected_holding_cost"": 0.65, ""expected_holding_cost_pct_change"": 29.0, ""expected_stockout_cost"": 21.22, ""expected_stockout_cost_pct_change"": 34.8, ""procurement_cost"": 20038.53, ""procurement_cost_pct_change"": 60.1, ""stockout_probability_pct"": 0.14, ""stockout_probability_pct_pct_change"": 2.9, ""achieved_service_level_pct"": -0.14, ""achieved_service_level_pct_pct_change"": -0.1}}"
Demand +20% (store 86),"{""name"": ""Demand +20%"", ""demand_multiplier"": 1.2, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 0.0, ""expected_total_cost"": 3.87, ""expected_holding_cost"": 3.87, ""expected_stockout_cost"": 0.0, ""procurement_cost"": 0.0, ""stockout_probability_pct"": 0.0, ""achieved_service_level_pct"": 100.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 340.0, ""expected_total_cost"": 1738.54, ""expected_holding_cost"": 1.76, ""expected_stockout_cost"": 44.51, ""procurement_cost"": 1692.27, ""stockout_probability_pct"": 4.74, ""achieved_service_level_pct"": 95.26, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 340.0, ""recommended_order_qty_pct_change"": null, ""expected_total_cost"": 1734.67, ""expected_total_cost_pct_change"": 44823.5, ""expected_holding_cost"": -2.11, ""expected_holding_cost_pct_change"": -54.5, ""expected_stockout_cost"": 44.51, ""expected_stockout_cost_pct_change"": null, ""procurement_cost"": 1692.27, ""procurement_cost_pct_change"": null, ""stockout_probability_pct"": 4.74, ""stockout_probability_pct_pct_change"": null, ""achieved_service_level_pct"": -4.74, ""achieved_service_level_pct_pct_change"": -4.7}}"
Demand -15% (store 86),"{""name"": ""Demand -15%"", ""demand_multiplier"": 0.85, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 0.0, ""expected_total_cost"": 3.87, ""expected_holding_cost"": 3.87, ""expected_stockout_cost"": 0.0, ""procurement_cost"": 0.0, ""stockout_probability_pct"": 0.0, ""achieved_service_level_pct"": 100.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 0.0, ""expected_total_cost"": 6.23, ""expected_holding_cost"": 6.23, ""expected_stockout_cost"": 0.0, ""procurement_cost"": 0.0, ""stockout_probability_pct"": 0.0, ""achieved_service_level_pct"": 100.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": null, ""expected_total_cost"": 2.36, ""expected_total_cost_pct_change"": 61.0, ""expected_holding_cost"": 2.36, ""expected_holding_cost_pct_change"": 61.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": null, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": null, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": null, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
Lead time 7 -> 14 days (store 86),"{""name"": ""Lead time 7 -> 14 days"", ""demand_multiplier"": 1.0, ""lead_time_override"": 14.0, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 0.0, ""expected_total_cost"": 3.87, ""expected_holding_cost"": 3.87, ""expected_stockout_cost"": 0.0, ""procurement_cost"": 0.0, ""stockout_probability_pct"": 0.0, ""achieved_service_level_pct"": 100.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 2380.0, ""expected_total_cost"": 11902.43, ""expected_holding_cost"": 1.86, ""expected_stockout_cost"": 54.71, ""procurement_cost"": 11845.86, ""stockout_probability_pct"": 4.78, ""achieved_service_level_pct"": 95.22, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 2380.0, ""recommended_order_qty_pct_change"": null, ""expected_total_cost"": 11898.56, ""expected_total_cost_pct_change"": 307456.3, ""expected_holding_cost"": -2.01, ""expected_holding_cost_pct_change"": -51.9, ""expected_stockout_cost"": 54.71, ""expected_stockout_cost_pct_change"": null, ""procurement_cost"": 11845.86, ""procurement_cost_pct_change"": null, ""stockout_probability_pct"": 4.78, ""stockout_probability_pct_pct_change"": null, ""achieved_service_level_pct"": -4.78, ""achieved_service_level_pct_pct_change"": -4.8}}"
Budget -15% (store 86),"{""name"": ""Budget -15%"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": 0.85, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 0.0, ""expected_total_cost"": 3.87, ""expected_holding_cost"": 3.87, ""expected_stockout_cost"": 0.0, ""procurement_cost"": 0.0, ""stockout_probability_pct"": 0.0, ""achieved_service_level_pct"": 100.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 0.0, ""expected_total_cost"": 3.87, ""expected_holding_cost"": 3.87, ""expected_stockout_cost"": 0.0, ""procurement_cost"": 0.0, ""stockout_probability_pct"": 0.0, ""achieved_service_level_pct"": 100.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": null, ""expected_total_cost"": 0.0, ""expected_total_cost_pct_change"": 0.0, ""expected_holding_cost"": 0.0, ""expected_holding_cost_pct_change"": 0.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": null, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": null, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": null, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
Budget -20% (store 86),"{""name"": ""Budget -20%"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": 0.8, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 0.0, ""expected_total_cost"": 3.87, ""expected_holding_cost"": 3.87, ""expected_stockout_cost"": 0.0, ""procurement_cost"": 0.0, ""stockout_probability_pct"": 0.0, ""achieved_service_level_pct"": 100.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 0.0, ""expected_total_cost"": 3.87, ""expected_holding_cost"": 3.87, ""expected_stockout_cost"": 0.0, ""procurement_cost"": 0.0, ""stockout_probability_pct"": 0.0, ""achieved_service_level_pct"": 100.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": null, ""expected_total_cost"": 0.0, ""expected_total_cost_pct_change"": 0.0, ""expected_holding_cost"": 0.0, ""expected_holding_cost_pct_change"": 0.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": null, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": null, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": null, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
Warehouse capacity +25% (store 86),"{""name"": ""Warehouse capacity +25%"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": 1.25, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 0.0, ""expected_total_cost"": 3.87, ""expected_holding_cost"": 3.87, ""expected_stockout_cost"": 0.0, ""procurement_cost"": 0.0, ""stockout_probability_pct"": 0.0, ""achieved_service_level_pct"": 100.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 0.0, ""expected_total_cost"": 3.87, ""expected_holding_cost"": 3.87, ""expected_stockout_cost"": 0.0, ""procurement_cost"": 0.0, ""stockout_probability_pct"": 0.0, ""achieved_service_level_pct"": 100.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": null, ""expected_total_cost"": 0.0, ""expected_total_cost_pct_change"": 0.0, ""expected_holding_cost"": 0.0, ""expected_holding_cost_pct_change"": 0.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": null, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": null, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": null, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
"2-week promotion, +30% uplift (store 86)","{""name"": ""2-week promotion, +30% uplift"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 30.0, ""promo_duration_days"": 14}","{""baseline"": {""recommended_order_qty"": 0.0, ""expected_total_cost"": 3.87, ""expected_holding_cost"": 3.87, ""expected_stockout_cost"": 0.0, ""procurement_cost"": 0.0, ""stockout_probability_pct"": 0.0, ""achieved_service_level_pct"": 100.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 910.0, ""expected_total_cost"": 4580.57, ""expected_holding_cost"": 1.89, ""expected_stockout_cost"": 49.38, ""procurement_cost"": 4529.3, ""stockout_probability_pct"": 4.86, ""achieved_service_level_pct"": 95.14, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 910.0, ""recommended_order_qty_pct_change"": null, ""expected_total_cost"": 4576.7, ""expected_total_cost_pct_change"": 118261.0, ""expected_holding_cost"": -1.98, ""expected_holding_cost_pct_change"": -51.2, ""expected_stockout_cost"": 49.38, ""expected_stockout_cost_pct_change"": null, ""procurement_cost"": 4529.3, ""procurement_cost_pct_change"": null, ""stockout_probability_pct"": 4.86, ""stockout_probability_pct_pct_change"": null, ""achieved_service_level_pct"": -4.86, ""achieved_service_level_pct_pct_change"": -4.9}}"
